file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
CMU_a_0050647,202,2.0,62,2.6645352591003757e-15,4.949382629309231e-16,2.639863636330928e-16,3.552713678800501e-15,4.270582853001817e-16,3.3800123194143653e-16,5.329070518200751e-15,4.267577632163518e-16,6.710681393289835e-16
Caltech_0051479,146,2.0,47,1.7763568394002505e-15,4.148040178585251e-16,2.1567110237625727e-16,1.7763568394002505e-15,4.733525690223876e-16,2.319132540328105e-16,3.552713678800501e-15,3.486926476974771e-16,5.000115547941446e-16
KKI_0050790,152,2.5,62,2.6645352591003757e-15,4.797023810440816e-16,2.1875505522243825e-16,2.6645352591003757e-15,4.2075573743065665e-16,2.977042480846716e-16,7.105427357601002e-15,4.539623097313533e-16,7.697546304067752e-16
Leuven_1_0050686,246,1.6663899421691897,28,2.6645352591003757e-15,6.194741047233672e-16,3.6508861777372624e-16,3.552713678800501e-15,4.689742505197749e-16,4.1366087510107684e-16,3.552713678800501e-15,4.023189821660189e-16,5.732040356768401e-16
Leuven_2_0050731,246,1.6513999700546265,62,2.6645352591003757e-15,5.022199338114177e-16,2.639863636330928e-16,1.7763568394002505e-15,4.537234259512134e-16,1.8914910789910075e-16,5.329070518200751e-15,4.865686918875231e-16,5.131697536045168e-16
MaxMun_a_0051364,116,3.0,62,1.7763568394002505e-15,4.2006565155741785e-16,2.5576248937661015e-16,2.6645352591003757e-15,5.059852076198392e-16,3.2402064570541606e-16,7.105427357601002e-15,4.846341873610951e-16,7.631755310015891e-16
MaxMun_d_0051331,196,3.0,62,3.552713678800501e-15,5.441046125950533e-16,3.8405492777773934e-16,3.552713678800501e-15,4.958154612873348e-16,4.0132506371635287e-16,7.105427357601002e-15,4.846154404859289e-16,1.0592350042349642e-15
NYU_0050977,176,2.0,62,2.6645352591003757e-15,4.769771284298743e-16,3.182639337258782e-16,3.552713678800501e-15,4.285259799403811e-16,3.3388929481319524e-16,1.0658141036401503e-14,5.179627994019418e-16,1.0723932030453365e-15
NYU_0051012,176,2.0,62,3.552713678800501e-15,5.026764362383924e-16,4.177728122293182e-16,3.552713678800501e-15,4.3329332224133875e-16,4.786294817272897e-16,1.7763568394002505e-14,5.894436359900106e-16,1.1447632965023837e-15
NYU_0051049,176,2.0,62,3.552713678800501e-15,5.426903304601245e-16,3.4458033134662265e-16,1.7763568394002505e-15,3.8270744635793124e-16,3.026385726385612e-16,7.105427357601002e-15,3.9701387401905877e-16,1.105288700071267e-15
NYU_0051081,176,2.0,62,3.552713678800501e-15,4.491699904593412e-16,2.746774001665202e-16,1.7763568394002505e-15,4.1049473840924283e-16,2.8619082412559593e-16,1.0658141036401503e-14,6.430595066950106e-16,9.671276125623585e-16
NYU_0051116,176,2.0,62,1.7763568394002505e-15,5.114495886497748e-16,2.804341121460581e-16,3.552713678800501e-15,4.973906750203689e-16,2.8783559897689243e-16,7.105427357601002e-15,5.050364972053982e-16,9.210739167260557e-16
Olin_0050111,206,1.5,60,3.552713678800501e-15,5.807006773992233e-16,3.001714103616164e-16,3.552713678800501e-15,6.25357713446686e-16,4.161280373780216e-16,5.329070518200751e-15,5.599392005927963e-16,7.56596431596403e-16
Pitt_0050010,196,1.5,59,1.7763568394002505e-15,4.979636816968043e-16,1.809252336426181e-16,1.7763568394002505e-15,4.06545445983476e-16,1.74346134237432e-16,5.329070518200751e-15,5.577945341758287e-16,6.644890399237974e-16
Pitt_0050045,196,1.5,62,1.7763568394002505e-15,3.968681706290511e-16,2.0477446898641777e-16,3.552713678800501e-15,4.684213272289441e-16,3.0757289719245075e-16,5.329070518200751e-15,5.013446906792972e-16,7.631755310015891e-16
SBL_0051573,196,2.200000047683716,62,2.6645352591003757e-15,5.058757814121152e-16,2.2615654205327265e-16,3.552713678800501e-15,4.465083273194972e-16,2.1628789294549346e-16,7.105427357601002e-15,5.681754962647787e-16,6.644890399237974e-16
SDSU_0050204,176,2.0,7,1.7763568394002505e-15,4.606604892350901e-16,2.371688236748439e-16,2.6645352591003757e-15,4.2186932306959905e-16,2.808453058588822e-16,5.329070518200751e-15,6.303586436486736e-16,7.158882540268139e-16
Stanford_0051181,236,2.0,62,1.7763568394002505e-15,3.9419349022317744e-16,2.812564995717063e-16,1.7763568394002505e-15,4.4178263337817753e-16,3.618504672852362e-16,5.329070518200751e-15,4.648614355991454e-16,6.908054375445419e-16
Trinity_0050248,146,2.0,62,1.7763568394002505e-15,4.339545725203705e-16,2.1053118096595562e-16,1.7763568394002505e-15,4.3825968389523373e-16,2.4671622769447924e-16,3.552713678800501e-15,4.162466977518888e-16,5.723816482511919e-16
UCLA_1_0051201,116,3.0,62,3.552713678800501e-15,4.970147691896747e-16,4.399772727218213e-16,3.552713678800501e-15,5.163267913316599e-16,3.7500866609560843e-16,7.105427357601002e-15,4.33152785031141e-16,8.552829226741946e-16
UCLA_1_0051239,116,3.0,62,1.7763568394002505e-15,3.535133551314714e-16,2.3931474086364484e-16,2.6645352591003757e-15,4.607833052316969e-16,2.680983007613341e-16,5.329070518200751e-15,3.8428523468641517e-16,6.217248937900876e-16
UCLA_1_0051281,116,3.0,62,1.7763568394002505e-15,4.736651676487493e-16,1.8914910789910075e-16,1.7763568394002505e-15,6.573365579409478e-16,2.360251911610518e-16,3.552713678800501e-15,4.4085098621726767e-16,4.177728122293182e-16
UM_1_0050280,296,2.0,36,3.552713678800501e-15,4.939604399443976e-16,3.2116798932269864e-16,3.552713678800501e-15,3.6707801154639186e-16,2.236893797763278e-16,7.105427357601002e-15,5.15332881518272e-16,6.908054375445419e-16
UM_1_0050320,296,2.0,62,3.552713678800501e-15,6.340913950659467e-16,4.268190739114491e-16,3.552713678800501e-15,4.348276011701622e-16,3.602056924339397e-16,7.105427357601002e-15,4.672732272519489e-16,8.684411214845669e-16
UM_1_0050354,296,2.0,62,7.105427357601002e-15,4.653768314899033e-16,7.072531860575071e-16,7.105427357601002e-15,4.015188926031226e-16,7.138322854626932e-16,1.4210854715202004e-14,4.260508436889789e-16,1.3684526762787115e-15
UM_2_0050390,296,2.0,62,2.6645352591003757e-15,5.484234448100638e-16,3.0592812234115424e-16,1.7763568394002505e-15,4.339033835021886e-16,2.5822965165355493e-16,7.105427357601002e-15,3.7641491000779354e-16,6.447517417082391e-16
USM_0050437,236,2.0,61,5.329070518200751e-15,5.286210658886757e-16,3.733638912443119e-16,3.552713678800501e-15,3.9665237489010474e-16,4.161280373780216e-16,8.881784197001252e-15,5.919952847624654e-16,1.046076805424592e-15
USM_0050492,236,2.0,60,3.552713678800501e-15,4.578918677199876e-16,3.659624044134775e-16,1.7763568394002505e-15,4.304106727441154e-16,3.2237587085411955e-16,7.105427357601002e-15,3.900134710490658e-16,8.684411214845669e-16
USM_0050532,236,2.0,62,3.552713678800501e-15,5.32288938501004e-16,3.782982157982015e-16,3.552713678800501e-15,5.424294659510781e-16,5.181040781584064e-16,7.105427357601002e-15,4.0727866162391487e-16,1.2368706881749892e-15
Yale_0050604,196,2.0,53,1.7763568394002505e-15,4.3870437803091997e-16,2.0107372557100057e-16,1.7763568394002505e-15,4.436861958740036e-16,2.2862370433021743e-16,5.329070518200751e-15,5.996960901008616e-16,4.704056074708071e-16
