cond,seed,perm_auc,perm_bacc,perm_acc,featperm_auc,featperm_bacc
M1|all3|D_SUBJ_BAND_Z|linsvm,20260818,0.4964214142570856,0.48479376335087754,0.4863731656184486,0.521337179854214,0.5209297716311745
M1|all3|D_SUBJ_BAND_Z|linsvm,20260819,0.49105243453940844,0.49578277433988854,0.4968553459119497,0.517985421392235,0.5193772159704023
M1|all3|D_SUBJ_BAND_Z|linsvm,20260820,0.49725825276927477,0.4961064987117091,0.4979035639412998,0.5073531678742099,0.5146909203021428
M1|all3|D_SUBJ_BAND_Z|linsvm,20260821,0.5038560637759034,0.516080512673699,0.5167714884696016,0.4875861613336563,0.49659098416613445
M1|all3|D_SUBJ_BAND_Z|linsvm,20260822,0.5307494109097316,0.5257459974894845,0.5283018867924528,0.5209143561848972,0.510262282807373
M1|all3|D_SUBJ_BAND_Z|linsvm,20260823,0.5444911801625228,0.5384813583210377,0.5419287211740041,0.5233059525644697,0.5108458675592944
M1|all3|D_SUBJ_BAND_Z|linsvm,20260824,0.5166332665330661,0.5109735955427338,0.5115303983228512,0.4717082516681715,0.48159395714505937
M1|all3|D_SUBJ_BAND_Z|linsvm,20260825,0.4728269726265719,0.4671144486775749,0.469601677148847,0.5232266731264728,0.5256821334977648
M1|all3|D_SUBJ_BAND_Z|linsvm,20260826,0.5028254310819441,0.500178378735493,0.5010482180293501,0.5176374727476931,0.5134951221123566
M1|all3|D_SUBJ_BAND_Z|linsvm,20260827,0.5252747252747253,0.5097139333612279,0.5115303983228512,0.5087890065845978,0.4974322270915457
M1|all3|D_SUBJ_BAND_Z|linsvm,20260828,0.5190645026316368,0.5129467726662116,0.5157232704402516,0.47397212006430445,0.4889955735647118
M1|all3|D_SUBJ_BAND_Z|linsvm,20260829,0.5024554603712921,0.5205752163667996,0.5241090146750524,0.5136779052610716,0.5090995177167522
M1|all3|D_SUBJ_BAND_Z|linsvm,20260830,0.5003809817437073,0.5108789006584598,0.5146750524109015,0.44060428549406505,0.4569975115065295
M1|all3|D_SUBJ_BAND_Z|linsvm,20260831,0.4944834724393843,0.49190468849787483,0.4937106918238994,0.49276134686956335,0.49791671254597103
M1|all3|D_SUBJ_BAND_Z|linsvm,20260832,0.5234292761346869,0.503087493668656,0.5041928721174004,0.4996410403224031,0.502636041313396
M1|all3|D_SUBJ_BAND_Z|linsvm,20260833,0.45328459116034264,0.4684710079499659,0.469601677148847,0.5498337334008676,0.5254222731176639
M1|all3|D_SUBJ_BAND_Z|linsvm,20260834,0.5106961175097448,0.5070316457090004,0.5094339622641509,0.5101323526173226,0.51171794137726
M1|all3|D_SUBJ_BAND_Z|linsvm,20260835,0.5525953004910921,0.5359928648505803,0.539832285115304,0.5133740007487503,0.5122354599308507
M1|all3|D_SUBJ_BAND_Z|linsvm,20260836,0.4837102776982537,0.49003061067189324,0.49266247379454925,0.5142945231121584,0.5031205267678214
M1|all3|D_SUBJ_BAND_Z|linsvm,20260837,0.49049307406020826,0.4956528441498381,0.49580712788259956,0.5273976524477526,0.5176330683344712
M1|all3|D_SUBJ_BAND_Z|linsvm,20260838,0.5055561672796142,0.4975291241824308,0.5,0.5106829042700786,0.5142064348477174
M1|all3|D_SUBJ_BAND_Z|linsvm,20260839,0.5408971789733312,0.5184743112598824,0.5220125786163522,0.5656147459754675,0.5443634521790834
M1|all3|D_SUBJ_BAND_Z|linsvm,20260840,0.4786716289722302,0.4858596313506133,0.4863731656184486,0.5161179501860864,0.5166618952190094
M1|all3|D_SUBJ_BAND_Z|linsvm,20260841,0.4964786716289722,0.49814353982690657,0.5010482180293501,0.5176506859873593,0.5130106366579312
M1|all3|D_SUBJ_BAND_Z|linsvm,20260842,0.5067057191305688,0.5189896276068621,0.519916142557652,0.5287762337862538,0.5301085687859235
M1|all3|D_SUBJ_BAND_Z|linsvm,20260843,0.446048140236517,0.4541214296725319,0.4570230607966457,0.4987865841573256,0.5124292541126209
M1|all3|D_SUBJ_BAND_Z|linsvm,20260844,0.49599418617454694,0.49439318196833226,0.49580712788259956,0.4995529520579621,0.489643022308353
M1|all3|D_SUBJ_BAND_Z|linsvm,20260845,0.5242440925807659,0.5145962254178688,0.5188679245283019,0.45223193640027304,0.4680834195864256
M1|all3|D_SUBJ_BAND_Z|linsvm,20260846,0.4602655861172895,0.47739214693122506,0.4790356394129979,0.5262921447290185,0.5186350723424872
M1|all3|D_SUBJ_BAND_Z|linsvm,20260847,0.4777555110220441,0.49319738377854605,0.4947589098532495,0.4780506067079213,0.4920346186879253
M1|all3|D_SUBJ_BAND_Z|linsvm,20260848,0.4964522451496399,0.49940320200841243,0.5010482180293501,0.5153163469796737,0.5186020392433218
M1|all3|D_SUBJ_BAND_Z|linsvm,20260849,0.4978572529674734,0.49940320200841243,0.5010482180293501,0.5424343191878261,0.5304961571494637
M1|all3|D_SUBJ_BAND_Z|linsvm,20260850,0.5171882225990443,0.5113633861128851,0.5146750524109015,0.5058028144200489,0.5115241471954899
M1|all3|D_SUBJ_BAND_Z|linsvm,20260851,0.488643220506948,0.49681781144706993,0.4989517819706499,0.502367372106851,0.49953313219846285
M1|all3|D_SUBJ_BAND_Z|linsvm,20260852,0.501543746834328,0.5125591843026713,0.5157232704402516,0.4978132088352529,0.5016010042062147
M1|all3|D_SUBJ_BAND_Z|linsvm,20260853,0.49794093681869234,0.5032174238587064,0.5052410901467506,0.4937479354313022,0.4939086965139069
M1|all3|D_SUBJ_BAND_Z|linsvm,20260854,0.48455592503688694,0.48990068048184277,0.4916142557651992,0.5782994560549671,0.5411636459732653
M1|all3|D_SUBJ_BAND_Z|linsvm,20260855,0.5333920588429606,0.5132044308397014,0.5146750524109015,0.4989803783390957,0.5019885925697549
M1|all3|D_SUBJ_BAND_Z|linsvm,20260856,0.46894228016472506,0.47668083419586427,0.4779874213836478,0.535686758131648,0.5229007465480411
M1|all3|D_SUBJ_BAND_Z|linsvm,20260857,0.4440309189808188,0.4749697196590984,0.4790356394129979,0.45800612213437863,0.4638177453808716
M1|all3|D_SUBJ_BAND_Z|linsvm,20260858,0.44764253782289853,0.4701534938007884,0.47379454926624737,0.5163249576075228,0.5106829042700787
M1|all3|D_SUBJ_BAND_Z|linsvm,20260859,0.5403598405602414,0.5328238895373164,0.5345911949685535,0.504723733180647,0.5032812878504261
M1|all3|D_SUBJ_BAND_Z|linsvm,20260860,0.48515932964830766,0.4899337135810082,0.49266247379454925,0.5456803717324759,0.5325001651654958
M1|all3|D_SUBJ_BAND_Z|linsvm,20260861,0.5215001431434297,0.49998458455372286,0.5010482180293501,0.5258869387125901,0.5309167786121693
M1|all3|D_SUBJ_BAND_Z|linsvm,20260862,0.4992138122398644,0.49167786121693935,0.49266247379454925,0.5271069611750975,0.5151754057565681
M1|all3|D_SUBJ_BAND_Z|linsvm,20260863,0.513435662533859,0.5175692043427514,0.5209643605870021,0.5230372833579247,0.5085181351714418
M1|all3|D_SUBJ_BAND_Z|linsvm,20260864,0.47157611927151,0.48321037679755113,0.48532494758909855,0.47057631747010503,0.46562795921513356
M1|all3|D_SUBJ_BAND_Z|linsvm,20260865,0.5007773789336916,0.4918077914069898,0.4937106918238994,0.49776916470303245,0.49578277433988854
M1|all3|D_SUBJ_BAND_Z|linsvm,20260866,0.539509788808386,0.5315642273558105,0.5345911949685535,0.5245964456385298,0.5119447686581955
M1|all3|D_SUBJ_BAND_Z|linsvm,20260867,0.5066308441057941,0.5129137395670462,0.5146750524109015,0.48911449272170715,0.48130326587240413
