file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
CMU_a_0050656,236,0.0,0.0,1.0,0,0,0
Caltech_0051458,146,0.0,0.0,1.0,0,0,0
Caltech_0051482,146,0.0,0.0,1.0,0,0,0
KKI_0050777,152,0.0,0.0,1.0,0,0,0
KKI_0050793,124,0.0,0.0,1.0,0,0,0
KKI_0050816,124,0.0,0.0,0.9999999999999998,0,0,0
Leuven_1_0050689,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050705,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050735,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050751,246,0.0,0.0,0.9999999999999999,0,0,0
MaxMun_a_0051370,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051338,116,0.0,0.0,1.0,0,0,0
MaxMun_d_0051351,196,0.0,0.0,1.0,0,0,0
NYU_0050961,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0050981,176,0.0,0.0,1.0,0,0,0
NYU_0050997,176,0.0,0.0,1.0,0,0,0
NYU_0051015,176,0.0,0.0,1.0,0,0,0
NYU_0051034,176,0.0,0.0,1.0,0,0,0
NYU_0051052,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0051068,176,0.0,0.0,1.0,0,0,0
NYU_0051084,176,0.0,0.0,1.0,0,0,0
NYU_0051101,176,0.0,0.0,1.0,0,0,0
NYU_0051122,176,0.0,0.0,1.0,0,0,0
NYU_0051153,176,0.0,0.0,1.0,0,0,0
Olin_0050114,206,0.0,0.0,0.9999999999999999,0,0,0
Olin_0050131,206,0.0,0.0,1.0,0,0,0
Pitt_0050013,196,0.0,0.0,1.0,0,0,0
Pitt_0050031,196,0.0,0.0,1.0,0,0,0
Pitt_0050048,196,0.0,0.0,1.0,0,0,0
SBL_0051560,196,0.0,0.0,1.0,0,0,0
SBL_0051576,196,0.0,0.0,0.9999999999999999,0,0,0
SDSU_0050189,176,0.0,0.0,1.0,0,0,0
SDSU_0050207,176,0.0,0.0,1.0,0,0,0
Stanford_0051167,177,0.0,0.0,0.9999999999999999,0,0,0
Stanford_0051184,236,0.0,0.0,1.0,0,0,0
Trinity_0050232,146,0.0,0.0,1.0,0,0,0
Trinity_0050251,146,0.0,0.0,1.0,0,0,0
Trinity_0050270,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051205,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051222,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051248,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051267,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051293,116,0.0,0.0,0.9999999999999998,0,0,0
UCLA_2_0051312,116,0.0,0.0,1.0,0,0,0
UM_1_0050284,296,0.0,0.0,1.0,0,0,0
UM_1_0050302,296,0.0,0.0,0.9999999999999999,0,0,0
UM_1_0050324,296,0.0,0.0,1.0,0,0,0
UM_1_0050341,296,0.0,0.0,1.0,0,0,0
UM_1_0050357,296,0.0,0.0,1.0,0,0,0
UM_1_0050373,296,0.0,0.0,1.0,0,0,0
UM_2_0050399,296,0.0,0.0,0.9999999999999999,0,0,0
UM_2_0050418,296,0.0,0.0,1.0,0,0,0
USM_0050440,236,0.0,0.0,1.0,0,0,0
USM_0050469,236,0.0,0.0,0.9999999999999999,0,0,0
USM_0050496,236,0.0,0.0,1.0,0,0,0
USM_0050516,236,0.0,0.0,1.0,0,0,0
Yale_0050553,196,0.0,0.0,0.9999999999999999,0,0,0
Yale_0050569,196,0.0,0.0,1.0,0,0,0
Yale_0050607,196,0.0,0.0,1.0,0,0,0
Yale_0050624,196,0.0,0.0,1.0,0,0,0
