file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
CMU_a_0050642,236,0.0,0.0,0.9999999999999999,0,0,0
CMU_b_0050655,316,0.0,0.0,1.0,0,0,0
Caltech_0051476,146,0.0,0.0,1.0,0,0,0
KKI_0050772,152,0.0,0.0,0.9999999999999998,0,0,0
KKI_0050788,152,0.0,0.0,1.0,0,0,0
KKI_0050804,152,0.0,0.0,1.0,0,0,0
Leuven_1_0050683,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050700,246,0.0,0.0,0.9999999999999998,0,0,0
Leuven_2_0050728,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050746,246,0.0,0.0,0.9999999999999999,0,0,0
MaxMun_a_0051362,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051332,116,0.0,0.0,0.9999999999999999,0,0,0
MaxMun_d_0051329,196,0.0,0.0,0.9999999999999999,0,0,0
NYU_0050956,176,0.0,0.0,1.0,0,0,0
NYU_0050974,176,0.0,0.0,1.0,0,0,0
NYU_0050992,176,0.0,0.0,1.0,0,0,0
NYU_0051010,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0051028,176,0.0,0.0,1.0,0,0,0
NYU_0051047,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0051063,176,0.0,0.0,1.0,0,0,0
NYU_0051079,176,0.0,0.0,1.0,0,0,0
NYU_0051096,176,0.0,0.0,1.0,0,0,0
NYU_0051113,176,0.0,0.0,1.0,0,0,0
NYU_0051148,176,0.0,0.0,1.0,0,0,0
Olin_0050109,206,0.0,0.0,0.9999999999999999,0,0,0
Olin_0050126,206,0.0,0.0,1.0,0,0,0
Pitt_0050008,196,0.0,0.0,1.0,0,0,0
Pitt_0050026,196,0.0,0.0,1.0,0,0,0
Pitt_0050043,196,0.0,0.0,1.0,0,0,0
Pitt_0050059,196,0.0,0.0,0.9999999999999999,0,0,0
SBL_0051571,196,0.0,0.0,0.9999999999999999,0,0,0
SDSU_0050183,176,0.0,0.0,1.0,0,0,0
SDSU_0050202,176,0.0,0.0,0.9999999999999999,0,0,0
Stanford_0051162,176,0.0,0.0,0.9999999999999998,0,0,0
Stanford_0051179,176,0.0,0.0,0.9999999999999999,0,0,0
Stanford_0051195,236,0.0,0.0,1.0,0,0,0
Trinity_0050246,146,0.0,0.0,1.0,0,0,0
Trinity_0050265,146,0.0,0.0,1.0,0,0,0
Trinity_0051141,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051217,116,0.0,0.0,0.9999999999999998,0,0,0
UCLA_1_0051236,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051261,116,0.0,0.0,0.9999999999999999,0,0,0
UCLA_1_0051279,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051306,116,0.0,0.0,1.0,0,0,0
UM_1_0050277,296,0.0,0.0,0.9999999999999999,0,0,0
UM_1_0050296,296,0.0,0.0,0.9999999999999998,0,0,0
UM_1_0050318,296,0.0,0.0,1.0,0,0,0
UM_1_0050336,296,0.0,0.0,1.0,0,0,0
UM_1_0050352,296,0.0,0.0,1.0,0,0,0
UM_1_0050368,296,0.0,0.0,0.9999999999999998,0,0,0
UM_2_0050387,296,0.0,0.0,1.0,0,0,0
UM_2_0050413,296,0.0,0.0,1.0,0,0,0
USM_0050435,236,0.0,0.0,1.0,0,0,0
USM_0050455,236,0.0,0.0,1.0,0,0,0
USM_0050490,236,0.0,0.0,0.9999999999999999,0,0,0
USM_0050509,236,0.0,0.0,1.0,0,0,0
USM_0050529,236,0.0,0.0,1.0,0,0,0
Yale_0050564,196,0.0,0.0,1.0,0,0,0
Yale_0050602,196,0.0,0.0,0.9999999999999999,0,0,0
Yale_0050619,196,0.0,0.0,1.0,0,0,0
