file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
CMU_a_0050647,202,0.0,0.0,1.0,0,0,0
CMU_b_0050661,316,0.0,0.0,1.0,0,0,0
Caltech_0051479,146,0.0,0.0,1.0,0,0,0
KKI_0050774,152,0.0,0.0,1.0,0,0,0
KKI_0050790,152,0.0,0.0,0.9999999999999999,0,0,0
KKI_0050812,152,0.0,0.0,0.9999999999999999,0,0,0
Leuven_1_0050686,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050702,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050731,246,0.0,0.0,0.9999999999999999,0,0,0
Leuven_2_0050748,246,0.0,0.0,1.0,0,0,0
MaxMun_a_0051364,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051334,116,0.0,0.0,0.9999999999999999,0,0,0
MaxMun_d_0051331,196,0.0,0.0,1.0,0,0,0
NYU_0050958,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0050977,176,0.0,0.0,1.0,0,0,0
NYU_0050994,176,0.0,0.0,1.0,0,0,0
NYU_0051012,176,0.0,0.0,1.0,0,0,0
NYU_0051030,176,0.0,0.0,1.0,0,0,0
NYU_0051049,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0051065,176,0.0,0.0,1.0,0,0,0
NYU_0051081,176,0.0,0.0,1.0,0,0,0
NYU_0051098,176,0.0,0.0,1.0,0,0,0
NYU_0051116,176,0.0,0.0,1.0,0,0,0
NYU_0051150,176,0.0,0.0,1.0,0,0,0
Olin_0050111,206,0.0,0.0,0.9999999999999999,0,0,0
Olin_0050128,206,0.0,0.0,1.0,0,0,0
Pitt_0050010,196,0.0,0.0,0.9999999999999999,0,0,0
Pitt_0050028,196,0.0,0.0,1.0,0,0,0
Pitt_0050045,196,0.0,0.0,0.9999999999999999,0,0,0
SBL_0051556,196,0.0,0.0,0.9999999999999998,0,0,0
SBL_0051573,196,0.0,0.0,0.9999999999999999,0,0,0
SDSU_0050186,176,0.0,0.0,0.9999999999999999,0,0,0
SDSU_0050204,176,0.0,0.0,0.9999999999999998,0,0,0
Stanford_0051164,176,0.0,0.0,1.0,0,0,0
Stanford_0051181,236,0.0,0.0,1.0,0,0,0
Stanford_0051197,236,0.0,0.0,0.9999999999999999,0,0,0
Trinity_0050248,146,0.0,0.0,0.9999999999999999,0,0,0
Trinity_0050267,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051201,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051219,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051239,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051264,116,0.0,0.0,0.9999999999999999,0,0,0
UCLA_1_0051281,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051308,116,0.0,0.0,1.0,0,0,0
UM_1_0050280,296,0.0,0.0,1.0,0,0,0
UM_1_0050298,296,0.0,0.0,0.9999999999999998,0,0,0
UM_1_0050320,296,0.0,0.0,1.0,0,0,0
UM_1_0050338,296,0.0,0.0,0.9999999999999999,0,0,0
UM_1_0050354,296,0.0,0.0,1.0,0,0,0
UM_1_0050370,296,0.0,0.0,1.0,0,0,0
UM_2_0050390,296,0.0,0.0,1.0,0,0,0
UM_2_0050415,296,0.0,0.0,0.9999999999999999,0,0,0
USM_0050437,236,0.0,0.0,1.0,0,0,0
USM_0050466,236,0.0,0.0,0.9999999999999999,0,0,0
USM_0050492,236,0.0,0.0,0.9999999999999999,0,0,0
USM_0050511,236,0.0,0.0,1.0,0,0,0
USM_0050532,236,0.0,0.0,1.0,0,0,0
Yale_0050566,196,0.0,0.0,1.0,0,0,0
Yale_0050604,196,0.0,0.0,1.0,0,0,0
Yale_0050621,196,0.0,0.0,1.0,0,0,0
